cohort_month,1,2,3,4
2022-06-01,100.0,56.599999999999994,42.699999999999996,22.6
2022-07-01,100.0,30.099999999999998,13.8,
2022-08-01,100.0,16.0,,
2022-09-01,100.0,,,
